 706 ( 2C2): Kills
 707 ( 2C3): Knockouts
 708 ( 2C4): TimesInjured
 709 ( 2C5): MissionsCompleted
 710 ( 2C6): MissionsTaken
 711 ( 2C7): ClausesTaken
 712 ( 2C8): ClausesCompleted
 713 ( 2C9): Alarms
 714 ( 2CA): LivingWitnesses
 715 ( 2CB): TimesSeen
 716 ( 2CC): MissionTime
 717 ( 2CD): AveragePay
 718 ( 2CE): PersonalMissionCost
 719 ( 2CF): PersonalMissionIntel
 720 ( 2D0): EasyMissionsCompleted
 721 ( 2D1): MediumMissionsCompleted
 722 ( 2D2): TotalLiberationProgress
 723 ( 2D3): GloryLevel
 724 ( 2D4): RunningScore
 725 ( 2D5): RunningDebt
 726 ( 2D6): RunningPenalty
 727 ( 2D7): PersonalMissionsLeft
 728 ( 2D8): ObsessedMissionFactionIndex
 729 ( 2D9): DyingTimer
 730 ( 2DA): PodSkin
 731 ( 2DB): PodThrustColour
 732 ( 2DC): PodMaxFuel
 733 ( 2DD): LoadedChecksum
 734 ( 2DE): LoadedChecksumString
 735 ( 2DF): HasEquipment
 736 ( 2E0): Checksum
 737 ( 2E1): ChecksumString
 738 ( 2E2): StationToLiberate
 739 ( 2E3): DestroyMe
 740 ( 2E4): Mysterious
 741 ( 2E5): PersonalMissionItem
 742 ( 2E6): Value
 743 ( 2E7): OriginalCharacter
 744 ( 2E8): GiftID
 745 ( 2E9): PriceMultiplier
 746 ( 2EA): TimesUsed
 747 ( 2EB): Capacity
 748 ( 2EC): Uses
 749 ( 2ED): MyStation
 750 ( 2EE): ThrustColour
 751 ( 2EF): MaxFuel
 752 ( 2F0): StationSeparation
 753 ( 2F1): EmergencyFuel
 754 ( 2F2): Fuel
 755 ( 2F3): Resting
 756 ( 2F4): ScriptedDestroy
 757 ( 2F5): ContainerCenter
 758 ( 2F6): CursorTimer
 759 ( 2F7): TextColour
 760 ( 2F8): OptionButtonHeight
 761 ( 2F9): InventoryY
 762 ( 2FA): ForceValidSave
 763 ( 2FB): CharacterFilename
 764 ( 2FC): Started
 765 ( 2FD): StashCount
 766 ( 2FE): Stash
 767 ( 2FF): SaveWarningResumeMode
 768 ( 300): SaveWarningActionToPerform
 769 ( 301): SaveWarningGalaxyToLoad
 770 ( 302): ContainerMinimumVerticalSeparation
 771 ( 303): NeedToGenerate
 772 ( 304): GenerateFile
 773 ( 305): ResetListings
 774 ( 306): PreviousMenuMode
 775 ( 307): Dead
 776 ( 308): Owner
 777 ( 309): Rechargeable
 778 ( 30A): ChargeRate
 779 ( 30B): Difficulty
 780 ( 30C): Pay
 781 ( 30D): Bonus
 782 ( 30E): TraitOffsets
 783 ( 30F): i
 784 ( 310): Type
 785 ( 311): Context
 786 ( 312): EnemyFactionIndex
 787 ( 313): Target
 788 ( 314): LovedOne
 789 ( 315): MinGuardsPerCluster
 790 ( 316): AlarmTime
 791 ( 317): TimeLimit
 792 ( 318): SentriesPerSegment
 793 ( 319): HasHeatSensors
 794 ( 31A): DesiredSegmentCount
 795 ( 31B): PracticeTutorialShip
 796 ( 31C): Practice
 797 ( 31D): KeycardGuardRole
 798 ( 31E): GlitchFailSafe
 799 ( 31F): DesiredBossCount
 800 ( 320): DesiredGuardCount
 801 ( 321): Warzone
